Name,File,Hash,RecOff,OffKnock,OffKnockPlayer
trapfuzzlejump,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,4883CEE4,415594,415758,415762
trapfuzzleloader,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,1C451DE6,345509,345673,345677
trapfuzzleloaderextender,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,E29179A6,674871,675035,675039
trapfuzzlerabid,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,A8DE80EE,569206,569370,569374
trapfuzzlerabidjump,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,2ACA2B15,371646,371810,371814
activatehivequeen,data/bundles/region_04/lm_level_04_blockmap.smh,8372BA80,298730,298894,298898
activatehivequeencharged,data/bundles/region_04/lm_level_04_blockmap.smh,12ADE690,117743,117907,117911
damagearmadilloloader,data/bundles/region_04/lm_level_04_blockmap.smh,9908C9FE,323116,323280,323284
damagearmadilloloaderextender,data/bundles/region_04/lm_level_04_blockmap.smh,E27EE3FE,392746,392910,392914
damagebeegun,data/bundles/region_04/lm_level_04_blockmap.smh,ADF7DEE1,346923,347087,347091
damagebeegunextendersmall,data/bundles/region_04/lm_level_04_blockmap.smh,F06F5DBA,406253,406417,406421
damageboombatqueen,data/bundles/region_04/lm_level_04_blockmap.smh,2593D7E2,207435,207599,207603
damagedynamite,data/bundles/region_04/lm_level_04_blockmap.smh,1B2A36F7,156756,156920,156924
damagedynamiteextender,data/bundles/region_04/lm_level_04_blockmap.smh,E675A21B,395577,395741,395745
damagedynamiteextenderloader,data/bundles/region_04/lm_level_04_blockmap.smh,56F3F96B,258333,258497,258501
damageriotslug,data/bundles/region_04/lm_level_04_blockmap.smh,C4840A58,367981,368145,368149
damagestingbee,data/bundles/region_04/lm_level_04_blockmap.smh,9D2CD827,327758,327922,327926
immobilizebolablast,data/bundles/region_04/lm_level_04_blockmap.smh,7309C2DC,286679,286843,286847
immobilizeskunkbombextender,data/bundles/region_04/lm_level_04_blockmap.smh,316C1E5E,222396,222560,222564
immobilizesparkstunkz,data/bundles/region_04/lm_level_04_blockmap.smh,199D023C,155292,155456,155460
immobilizespiderbolaextendermedium,data/bundles/region_04/lm_level_04_blockmap.smh,13349037,147051,147215,147219
immobilizespiderbolaextendersmall,data/bundles/region_04/lm_level_04_blockmap.smh,A80AE619,341382,341546,341550
punch,data/bundles/region_04/lm_level_04_blockmap.smh,1BD366E4,157775,157939,157943
sendtochipmunkextender,data/bundles/region_04/lm_level_04_blockmap.smh,B370E9CA,353412,353576,353580
sendtohowlerpunk,data/bundles/region_04/lm_level_04_blockmap.smh,87B60D14,303268,303432,303436
sniperdart,data/bundles/region_04/lm_level_04_blockmap.smh,2B365C4D,212824,212988,212992
trapfuzzlejump,data/bundles/region_04/lm_level_04_blockmap.smh,4883CEE4,242546,242710,242714
trapfuzzleloader,data/bundles/region_04/lm_level_04_blockmap.smh,1C451DE6,159550,159714,159718
trapfuzzleloaderextender,data/bundles/region_04/lm_level_04_blockmap.smh,E29179A6,393405,393569,393573
trapfuzzlerabid,data/bundles/region_04/lm_level_04_blockmap.smh,A8DE80EE,342549,342713,342717
trapfuzzlerabidjump,data/bundles/region_04/lm_level_04_blockmap.smh,2ACA2B15,212130,212294,212298
activatehivequeen,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,8372BA80,298718,298882,298886
activatehivequeencharged,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,12ADE690,117731,117895,117899
damagearmadilloloader,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,9908C9FE,323104,323268,323272
damagearmadilloloaderextender,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,E27EE3FE,392734,392898,392902
damagebeegun,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,ADF7DEE1,346911,347075,347079
damagebeegunextendersmall,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,F06F5DBA,406241,406405,406409
damageboombatqueen,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,2593D7E2,207423,207587,207591
damagedynamite,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,1B2A36F7,156744,156908,156912
damagedynamiteextender,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,E675A21B,395565,395729,395733
damagedynamiteextenderloader,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,56F3F96B,258321,258485,258489
damageriotslug,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,C4840A58,367969,368133,368137
damagestingbee,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,9D2CD827,327746,327910,327914
immobilizebolablast,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,7309C2DC,286667,286831,286835
immobilizeskunkbombextender,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,316C1E5E,222384,222548,222552
immobilizesparkstunkz,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,199D023C,155280,155444,155448
immobilizespiderbolaextendermedium,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,13349037,147039,147203,147207
immobilizespiderbolaextendersmall,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,A80AE619,341370,341534,341538
punch,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,1BD366E4,157763,157927,157931
sendtochipmunkextender,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,B370E9CA,353400,353564,353568
sendtohowlerpunk,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,87B60D14,303256,303420,303424
sniperdart,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,2B365C4D,212812,212976,212980
trapfuzzlejump,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,4883CEE4,242534,242698,242702
trapfuzzleloader,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,1C451DE6,159538,159702,159706
trapfuzzleloaderextender,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,E29179A6,393393,393557,393561
trapfuzzlerabid,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,A8DE80EE,342537,342701,342705
trapfuzzlerabidjump,data/bundles/region_04/lm_level_04/lm_level_04_tgl.smb,2ACA2B15,212118,212282,212286
activatehivequeen,data/bundles/region_05/lm_level_05_blockmap.smh,8372BA80,268809,268973,268977
activatehivequeencharged,data/bundles/region_05/lm_level_05_blockmap.smh,12ADE690,74775,74939,74943
damagearmadilloloader,data/bundles/region_05/lm_level_05_blockmap.smh,9908C9FE,296552,296716,296720
damagearmadilloloaderextender,data/bundles/region_05/lm_level_05_blockmap.smh,E27EE3FE,376312,376476,376480
damagebeegun,data/bundles/region_05/lm_level_05_blockmap.smh,ADF7DEE1,321071,321235,321239
damagebeegunextendersmall,data/bundles/region_05/lm_level_05_blockmap.smh,F06F5DBA,406228,406392,406396
damageboombatqueen,data/bundles/region_05/lm_level_05_blockmap.smh,2593D7E2,120172,120336,120340
damagedynamite,data/bundles/region_05/lm_level_05_blockmap.smh,1B2A36F7,97145,97309,97313
damagedynamiteextender,data/bundles/region_05/lm_level_05_blockmap.smh,E675A21B,379860,380024,380028
damagedynamiteextenderloader,data/bundles/region_05/lm_level_05_blockmap.smh,56F3F96B,225004,225168,225172
damageriotslug,data/bundles/region_05/lm_level_05_blockmap.smh,C4840A58,347066,347230,347234
damagestingbee,data/bundles/region_05/lm_level_05_blockmap.smh,9D2CD827,299843,300007,300011
immobilizebolablast,data/bundles/region_05/lm_level_05_blockmap.smh,7309C2DC,258037,258201,258205
immobilizeskunkbombextender,data/bundles/region_05/lm_level_05_blockmap.smh,316C1E5E,151005,151169,151173
immobilizesparkstunkz,data/bundles/region_05/lm_level_05_blockmap.smh,199D023C,95302,95466,95470
immobilizespiderbolaextendermedium,data/bundles/region_05/lm_level_05_blockmap.smh,13349037,77592,77756,77760
immobilizespiderbolaextendersmall,data/bundles/region_05/lm_level_05_blockmap.smh,A80AE619,313109,313273,313277
punch,data/bundles/region_05/lm_level_05_blockmap.smh,1BD366E4,98164,98328,98332
sendtochipmunkextender,data/bundles/region_05/lm_level_05_blockmap.smh,B370E9CA,329220,329384,329388
sendtohowlerpunk,data/bundles/region_05/lm_level_05_blockmap.smh,87B60D14,274120,274284,274288
sniperdart,data/bundles/region_05/lm_level_05_blockmap.smh,2B365C4D,125772,125936,125940
trapfuzzlejump,data/bundles/region_05/lm_level_05_blockmap.smh,4883CEE4,203522,203686,203690
trapfuzzleloader,data/bundles/region_05/lm_level_05_blockmap.smh,1C451DE6,99777,99941,99945
trapfuzzleloaderextender,data/bundles/region_05/lm_level_05_blockmap.smh,E29179A6,376971,377135,377139
trapfuzzlerabid,data/bundles/region_05/lm_level_05_blockmap.smh,A8DE80EE,314480,314644,314648
trapfuzzlerabidjump,data/bundles/region_05/lm_level_05_blockmap.smh,2ACA2B15,125078,125242,125246
activatehivequeen,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,8372BA80,268797,268961,268965
activatehivequeencharged,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,12ADE690,74763,74927,74931
damagearmadilloloader,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,9908C9FE,296540,296704,296708
damagearmadilloloaderextender,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,E27EE3FE,376300,376464,376468
damagebeegun,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,ADF7DEE1,321059,321223,321227
damagebeegunextendersmall,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,F06F5DBA,406216,406380,406384
damageboombatqueen,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,2593D7E2,120160,120324,120328
damagedynamite,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,1B2A36F7,97133,97297,97301
damagedynamiteextender,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,E675A21B,379848,380012,380016
damagedynamiteextenderloader,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,56F3F96B,224992,225156,225160
damageriotslug,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,C4840A58,347054,347218,347222
damagestingbee,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,9D2CD827,299831,299995,299999
immobilizebolablast,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,7309C2DC,258025,258189,258193
immobilizeskunkbombextender,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,316C1E5E,150993,151157,151161
immobilizesparkstunkz,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,199D023C,95290,95454,95458
immobilizespiderbolaextendermedium,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,13349037,77580,77744,77748
immobilizespiderbolaextendersmall,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,A80AE619,313097,313261,313265
punch,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,1BD366E4,98152,98316,98320
sendtochipmunkextender,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,B370E9CA,329208,329372,329376
sendtohowlerpunk,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,87B60D14,274108,274272,274276
sniperdart,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,2B365C4D,125760,125924,125928
trapfuzzlejump,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,4883CEE4,203510,203674,203678
trapfuzzleloader,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,1C451DE6,99765,99929,99933
trapfuzzleloaderextender,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,E29179A6,376959,377123,377127
trapfuzzlerabid,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,A8DE80EE,314468,314632,314636
trapfuzzlerabidjump,data/bundles/region_05/lm_level_05/lm_level_05_tgl.smb,2ACA2B15,125066,125230,125234
activatehivequeen,data/bundles/region_06/lm_level_06_blockmap.smh,8372BA80,440636,440800,440804
activatehivequeencharged,data/bundles/region_06/lm_level_06_blockmap.smh,12ADE690,299229,299393,299397
damagearmadilloloader,data/bundles/region_06/lm_level_06_blockmap.smh,9908C9FE,475341,475505,475509
damagearmadilloloaderextender,data/bundles/region_06/lm_level_06_blockmap.smh,E27EE3FE,559725,559889,559893
damagebeegun,data/bundles/region_06/lm_level_06_blockmap.smh,ADF7DEE1,502574,502738,502742
damagebeegunextendersmall,data/bundles/region_06/lm_level_06_blockmap.smh,F06F5DBA,576778,576942,576946
damageboombatqueen,data/bundles/region_06/lm_level_06_blockmap.smh,2593D7E2,332994,333158,333162
damagedynamite,data/bundles/region_06/lm_level_06_blockmap.smh,1B2A36F7,310548,310712,310716
damagedynamiteextender,data/bundles/region_06/lm_level_06_blockmap.smh,E675A21B,565910,566074,566078
damagedynamiteextenderloader,data/bundles/region_06/lm_level_06_blockmap.smh,56F3F96B,393599,393763,393767
damageriotslug,data/bundles/region_06/lm_level_06_blockmap.smh,C4840A58,528340,528504,528508
damagestingbee,data/bundles/region_06/lm_level_06_blockmap.smh,9D2CD827,479062,479226,479230
immobilizebolablast,data/bundles/region_06/lm_level_06_blockmap.smh,7309C2DC,427722,427886,427890
immobilizeskunkbombextender,data/bundles/region_06/lm_level_06_blockmap.smh,316C1E5E,348899,349063,349067
immobilizesparkstunkz,data/bundles/region_06/lm_level_06_blockmap.smh,199D023C,309156,309320,309324
immobilizespiderbolaextendermedium,data/bundles/region_06/lm_level_06_blockmap.smh,13349037,302171,302335,302339
immobilizespiderbolaextendersmall,data/bundles/region_06/lm_level_06_blockmap.smh,A80AE619,493241,493405,493409
punch,data/bundles/region_06/lm_level_06_blockmap.smh,1BD366E4,311743,311907,311911
sendtochipmunkextender,data/bundles/region_06/lm_level_06_blockmap.smh,B370E9CA,509813,509977,509981
sendtohowlerpunk,data/bundles/region_06/lm_level_06_blockmap.smh,87B60D14,446937,447101,447105
sniperdart,data/bundles/region_06/lm_level_06_blockmap.smh,2B365C4D,337452,337616,337620
trapfuzzlejump,data/bundles/region_06/lm_level_06_blockmap.smh,4883CEE4,379799,379963,379967
trapfuzzleloader,data/bundles/region_06/lm_level_06_blockmap.smh,1C451DE6,313729,313893,313897
trapfuzzleloaderextender,data/bundles/region_06/lm_level_06_blockmap.smh,E29179A6,560384,560548,560552
trapfuzzlerabid,data/bundles/region_06/lm_level_06_blockmap.smh,A8DE80EE,494496,494660,494664
trapfuzzlerabidjump,data/bundles/region_06/lm_level_06_blockmap.smh,2ACA2B15,336758,336922,336926
activatehivequeen,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,8372BA80,440624,440788,440792
activatehivequeencharged,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,12ADE690,299217,299381,299385
damagearmadilloloader,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,9908C9FE,475329,475493,475497
damagearmadilloloaderextender,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,E27EE3FE,559713,559877,559881
damagebeegun,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,ADF7DEE1,502562,502726,502730
damagebeegunextendersmall,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,F06F5DBA,576766,576930,576934
damageboombatqueen,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,2593D7E2,332982,333146,333150
damagedynamite,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,1B2A36F7,310536,310700,310704
damagedynamiteextender,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,E675A21B,565898,566062,566066
damagedynamiteextenderloader,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,56F3F96B,393587,393751,393755
damageriotslug,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,C4840A58,528328,528492,528496
damagestingbee,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,9D2CD827,479050,479214,479218
immobilizebolablast,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,7309C2DC,427710,427874,427878
immobilizeskunkbombextender,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,316C1E5E,348887,349051,349055
immobilizesparkstunkz,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,199D023C,309144,309308,309312
immobilizespiderbolaextendermedium,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,13349037,302159,302323,302327
immobilizespiderbolaextendersmall,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,A80AE619,493229,493393,493397
punch,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,1BD366E4,311731,311895,311899
sendtochipmunkextender,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,B370E9CA,509801,509965,509969
sendtohowlerpunk,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,87B60D14,446925,447089,447093
sniperdart,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,2B365C4D,337440,337604,337608
trapfuzzlejump,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,4883CEE4,379787,379951,379955
trapfuzzleloader,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,1C451DE6,313717,313881,313885
trapfuzzleloaderextender,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,E29179A6,560372,560536,560540
trapfuzzlerabid,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,A8DE80EE,494484,494648,494652
trapfuzzlerabidjump,data/bundles/region_06/lm_level_06/lm_level_06_tgl.smb,2ACA2B15,336746,336910,336914
activatehivequeen,data/bundles/utility/empty_blockmap.smh,8372BA80,43515,43679,43683
activatehivequeencharged,data/bundles/utility/empty_blockmap.smh,12ADE690,6855,7019,7023
damagearmadilloloader,data/bundles/utility/empty_blockmap.smh,9908C9FE,53388,53552,53556
damagearmadilloloaderextender,data/bundles/utility/empty_blockmap.smh,E27EE3FE,81399,81563,81567
damagebeegun,data/bundles/utility/empty_blockmap.smh,ADF7DEE1,62577,62741,62745
damagebeegunextendersmall,data/bundles/utility/empty_blockmap.smh,F06F5DBA,88283,88447,88451
damageboombatqueen,data/bundles/utility/empty_blockmap.smh,2593D7E2,15353,15517,15521
damagedynamite,data/bundles/utility/empty_blockmap.smh,1B2A36F7,11859,12023,12027
damagedynamiteextender,data/bundles/utility/empty_blockmap.smh,E675A21B,82863,83027,83031
damagedynamiteextenderloader,data/bundles/utility/empty_blockmap.smh,56F3F96B,29236,29400,29404
damageriotslug,data/bundles/utility/empty_blockmap.smh,C4840A58,71819,71983,71987
damagestingbee,data/bundles/utility/empty_blockmap.smh,9D2CD827,56203,56367,56371
immobilizebolablast,data/bundles/utility/empty_blockmap.smh,7309C2DC,41087,41251,41255
immobilizeskunkbombextender,data/bundles/utility/empty_blockmap.smh,316C1E5E,19473,19637,19641
immobilizesparkstunkz,data/bundles/utility/empty_blockmap.smh,199D023C,10948,11112,11116
immobilizespiderbolaextendermedium,data/bundles/utility/empty_blockmap.smh,13349037,7458,7622,7626
immobilizespiderbolaextendersmall,data/bundles/utility/empty_blockmap.smh,A80AE619,60188,60352,60356
punch,data/bundles/utility/empty_blockmap.smh,1BD366E4,12729,12893,12897
sendtochipmunkextender,data/bundles/utility/empty_blockmap.smh,B370E9CA,65444,65608,65612
sendtohowlerpunk,data/bundles/utility/empty_blockmap.smh,87B60D14,45992,46156,46160
sniperdart,data/bundles/utility/empty_blockmap.smh,2B365C4D,17738,17902,17906
trapfuzzlejump,data/bundles/utility/empty_blockmap.smh,4883CEE4,24673,24837,24841
trapfuzzleloader,data/bundles/utility/empty_blockmap.smh,1C451DE6,13640,13804,13808
trapfuzzleloaderextender,data/bundles/utility/empty_blockmap.smh,E29179A6,82058,82222,82226
trapfuzzlerabid,data/bundles/utility/empty_blockmap.smh,A8DE80EE,60851,61015,61019
trapfuzzlerabidjump,data/bundles/utility/empty_blockmap.smh,2ACA2B15,17044,17208,17212
activatehivequeen,data/bundles/utility/empty/empty_tag.smb,8372BA80,43503,43667,43671
activatehivequeencharged,data/bundles/utility/empty/empty_tag.smb,12ADE690,6843,7007,7011
damagearmadilloloader,data/bundles/utility/empty/empty_tag.smb,9908C9FE,53376,53540,53544
damagearmadilloloaderextender,data/bundles/utility/empty/empty_tag.smb,E27EE3FE,81387,81551,81555
damagebeegun,data/bundles/utility/empty/empty_tag.smb,ADF7DEE1,62565,62729,62733
damagebeegunextendersmall,data/bundles/utility/empty/empty_tag.smb,F06F5DBA,88271,88435,88439
damageboombatqueen,data/bundles/utility/empty/empty_tag.smb,2593D7E2,15341,15505,15509
damagedynamite,data/bundles/utility/empty/empty_tag.smb,1B2A36F7,11847,12011,12015
damagedynamiteextender,data/bundles/utility/empty/empty_tag.smb,E675A21B,82851,83015,83019
damagedynamiteextenderloader,data/bundles/utility/empty/empty_tag.smb,56F3F96B,29224,29388,29392
damageriotslug,data/bundles/utility/empty/empty_tag.smb,C4840A58,71807,71971,71975
damagestingbee,data/bundles/utility/empty/empty_tag.smb,9D2CD827,56191,56355,56359
immobilizebolablast,data/bundles/utility/empty/empty_tag.smb,7309C2DC,41075,41239,41243
immobilizeskunkbombextender,data/bundles/utility/empty/empty_tag.smb,316C1E5E,19461,19625,19629
immobilizesparkstunkz,data/bundles/utility/empty/empty_tag.smb,199D023C,10936,11100,11104
immobilizespiderbolaextendermedium,data/bundles/utility/empty/empty_tag.smb,13349037,7446,7610,7614
immobilizespiderbolaextendersmall,data/bundles/utility/empty/empty_tag.smb,A80AE619,60176,60340,60344
punch,data/bundles/utility/empty/empty_tag.smb,1BD366E4,12717,12881,12885
sendtochipmunkextender,data/bundles/utility/empty/empty_tag.smb,B370E9CA,65432,65596,65600
sendtohowlerpunk,data/bundles/utility/empty/empty_tag.smb,87B60D14,45980,46144,46148
sniperdart,data/bundles/utility/empty/empty_tag.smb,2B365C4D,17726,17890,17894
trapfuzzlejump,data/bundles/utility/empty/empty_tag.smb,4883CEE4,24661,24825,24829
trapfuzzleloader,data/bundles/utility/empty/empty_tag.smb,1C451DE6,13628,13792,13796
trapfuzzleloaderextender,data/bundles/utility/empty/empty_tag.smb,E29179A6,82046,82210,82214
trapfuzzlerabid,data/bundles/utility/empty/empty_tag.smb,A8DE80EE,60839,61003,61007
trapfuzzlerabidjump,data/bundles/utility/empty/empty_tag.smb,2ACA2B15,17032,17196,17200
damagearmadillo,data/global/global_prefs.smb,7AE0C662,42853,43017,43021
immobilizeskunkbomb,data/global/global_prefs.smb,8977B284,48574,48738,48742
immobilizespiderbola,data/global/global_prefs.smb,02A2FB34,1729,1893,1897
sendtochipmunk,data/global/global_prefs.smb,3E3C2685,24267,24431,24435
trapfuzzle,data/global/global_prefs.smb,67F5D230,37484,37648,37652
